pipeline,etapa,etapaOrdem,campoId,campo,chave,tipo,ativoGlobal,visivelEtapa,editavelEtapa,somenteLeituraEtapa,obrigatorioEtapa,exigirEntrada,exigirSaida,naComposicao
"Financeiro","Solicitação de Contrato","0","cmsnjzlho000rdz5gdv76apii","CNPJ","alpha.cnpj","texto","1","1","0","1","0","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivlv0009kw0ahb5x0en4","CNPJ","alpha.legacy.cnpj.financeiro","texto","0","1","1","0","0","0","0","0"
"Financeiro","Solicitação de Contrato","0","cmt36ivo0000vkw0a1sfg8uln","Serviço contratado","alpha.servico.contratado","texto","1","1","1","0","1","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivm3000bkw0areemyt3j","Razão Social","alpha.razao.social","texto","1","1","0","1","1","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmsnjzmos0019dz5go1obih9f","Valor acordado no contrato","alpha.valor.acordado.no.contrato","numero","1","1","1","0","0","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmsnjzmti001bdz5gmvf6kwdc","Forma de pagamento","alpha.forma.de.pagamento","selecao","1","1","1","0","0","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivma000dkw0aj53fgefl","Rua","alpha.rua","texto","1","1","1","0","1","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivom0011kw0a2uogjvgo","Condição negociada","alpha.condicao.negociada","texto_longo","1","1","1","0","1","0","0","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivmg000fkw0al0nclu1m","Número","alpha.numero","texto","1","1","1","0","1","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivmm000hkw0a3j9ajn3z","Complemento","alpha.complemento","texto","1","1","1","0","0","0","0","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivou0013kw0amdcwv5vs","Vendedor responsável","alpha.vendedor.a","texto","1","1","1","0","1","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivmt000jkw0asbfw2rxn","Bairro","alpha.bairro","texto","1","1","1","0","1","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmsnjn2qj0001dzhcyeyr4p8g","Canal de origem","alpha.canal.origem.do.cliente","selecao","1","1","1","0","0","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivn0000lkw0ashspgbbg","CEP","alpha.cep","texto","1","1","1","0","1","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivpd0017kw0avbm9j03v","Parceiro responsável","alpha.parceiro.responsavel","texto","1","1","1","0","0","0","0","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivn8000nkw0ajeb19vrs","Município","alpha.municipio","texto","1","1","0","1","1","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivne000pkw0a8jh7s434","Estado","alpha.estado","selecao","1","1","0","1","1","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivnl000rkw0aqbhanm2i","E-mail","alpha.e.mail","texto","1","1","0","1","1","0","1","1"
"Financeiro","Solicitação de Contrato","0","c668b5971f9ee6260b3fb4bdc","Regime tributário","alpha.regime.tributario","selecao","1","1","0","1","0","0","1","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivns000tkw0a01zcqo0l","Regime tributário do cliente","alpha.regime.tributario.cliente","selecao","1","1","1","0","1","0","0","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivo7000xkw0aiumeej4e","Valor bruto do contrato","alpha.legacy.valor.bruto.contrato","numero","0","1","1","0","0","0","0","0"
"Financeiro","Solicitação de Contrato","0","cmt36ivoe000zkw0ay6otrlc8","Forma de pagamento","alpha.legacy.forma.pagamento.financeiro","selecao","0","1","1","0","0","0","0","0"
"Financeiro","Solicitação de Contrato","0","cmt36ivp50015kw0axn2uwmh4","Origem do cliente","alpha.legacy.origem.cliente.financeiro","selecao","0","1","1","0","0","0","0","0"
"Financeiro","Solicitação de Contrato","0","cmt36ivpl0019kw0a33qzjcaj","Contato/Nome do responsável","alpha.contato.nome.responsavel","texto","1","1","1","0","1","0","0","1"
"Financeiro","Solicitação de Contrato","0","cmt36ivps001bkw0ah4iztji5","Observações comerciais","alpha.observacoes.comerciais","texto_longo","1","1","1","0","0","0","0","1"
"Financeiro","Elaboração do Contrato","1","cmt36ivq0001dkw0ax7jkz33c","Contrato elaborado","alpha.contrato.elaborado","booleano","1","1","1","0","1","0","0","1"
"Financeiro","Elaboração do Contrato","1","cmt36ivq9001fkw0aw172i84z","Data de elaboração","alpha.data.de.elaboracao","data","1","1","1","0","0","0","0","1"
"Financeiro","Elaboração do Contrato","1","cmt36ivqg001hkw0aebtrscl4","Contrato enviado para assinatura","alpha.contrato.enviado.para.assinatura","booleano","1","1","1","0","1","0","0","1"
"Financeiro","Elaboração do Contrato","1","cmt36ivqq001jkw0a3xk98usr","Data do envio","alpha.data.do.envio","data","1","1","1","0","0","0","0","1"
"Financeiro","Elaboração do Contrato","1","cmt36ivqw001lkw0adgv97zab","Link/arquivo do contrato","alpha.link.arquivo.do.contrato","texto","1","1","1","0","0","0","0","1"
"Financeiro","Formalização","2","cf6c9fd04a5d0616405f9f1bf","Status da assinatura","alpha.status.da.assinatura","selecao","1","1","1","0","0","0","0","1"
"Financeiro","Formalização","2","cmsnjzmos0019dz5go1obih9f","Valor acordado no contrato","alpha.valor.acordado.no.contrato","numero","1","1","1","0","0","0","0","1"
"Financeiro","Formalização","2","cmt36ivs2001vkw0av17byh2x","IRRF aplicável","alpha.irrf.aplicavel","booleano","1","1","1","0","1","0","0","1"
"Financeiro","Formalização","2","c01892aa9a218885c96d348dc","Status do contrato","alpha.status.do.contrato","selecao","1","1","1","0","0","0","0","1"
